"범죄대분류,범죄중분류,단독주택_다가구_다중,아파트,다세대_연립,오피스텔_원룸,기타거주시설_기숙사 등,고속도로,자동차 전용도로,일반도로,통행로_보도_골목길,백화점,대형할인점,슈퍼마켓_소매점,편의점,시장_노점,창고_매장창고한정,무인상점,기타상점,숙박업소_호텔_모텔_여관,목욕탕_찜질방_사우나,이발소_미용실,마사지업소,공중위생업소_기타,음식점,카페,주점,단란_유흥주점_나이트_클럽_카바레,버스터미널_정류소,지하철역_전철역,기차역,여객선터미널,공항,버스,택시,자가용자동차,지하철_전철,기차,선박,비행기,교통수단내_기타,공연장_극장,체육시설,공원_놀이시설,게임장_(PC)방,기타_(DVD)방_유원지,어린이집_유치원,학교,도서관,학원,기타 교육시설,금융보험기관,의료기관,종교시설,야외_산야,해안,폐가_공터,공중화장실,관공서,군사기지_군사시설,구금장소,사회복지시설,기타,미상"
"강력범죄,살인미수,48,66,38,16,6,0,1,4,8,0,0,0,0,0,2,0,2,17,0,0,0,0,2,1,4,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,7,2,2,0,0,0,0,1,29,4"
"강력범죄,살인미수등,61,67,45,19,13,1,1,16,40,0,1,3,1,2,0,0,12,13,3,1,1,0,14,1,10,6,1,1,0,0,0,0,1,5,0,0,3,0,0,0,1,0,0,1,0,3,0,0,1,1,14,3,15,1,3,0,3,0,3,1,93,7"
"강력범죄,강도,36,40,29,42,9,1,1,18,42,3,4,13,35,3,0,3,23,45,1,1,7,1,7,9,10,15,0,3,0,0,0,0,3,10,0,0,0,0,0,1,1,5,7,1,1,2,0,0,0,12,1,1,19,0,0,3,1,0,0,1,100,3"
"강력범죄,강간,418,680,624,693,69,0,0,20,34,2,3,0,5,2,0,0,28,1592,3,4,18,19,24,41,43,106,1,1,0,0,0,0,4,152,0,0,1,0,5,1,6,15,4,30,0,22,1,5,0,0,15,8,30,2,6,59,1,3,0,3,267,50"
"강력범죄,유사강간,66,113,97,113,17,0,0,9,16,0,0,0,1,1,0,1,9,142,5,1,13,3,6,11,13,47,0,0,0,0,0,1,5,38,0,0,1,1,3,0,4,9,1,10,0,13,0,4,2,0,12,0,7,0,2,15,0,1,5,4,79,7"
"강력범죄,강제추행,438,847,498,435,114,15,4,304,1363,34,58,85,301,87,16,20,462,618,221,35,128,55,1063,156,1153,1174,96,440,6,0,9,516,175,357,566,1,10,12,43,35,204,218,102,113,7,394,14,96,56,19,317,30,229,9,13,63,70,53,44,45,2022,121"
"강력범죄,기타 강간_강제추행등,18,31,28,16,4,0,0,0,2,0,0,0,3,1,0,0,4,21,0,1,1,0,3,1,2,3,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,3,1,3,0,4,0,1,0,0,0,1,2,0,0,3,0,1,0,2,11,0"
"강력범죄,방화,202,215,161,51,35,1,0,25,71,0,4,4,4,7,9,2,27,27,1,0,1,0,18,7,5,4,2,2,0,0,0,0,0,5,1,0,0,0,0,1,1,10,3,1,0,12,0,4,0,4,10,7,33,0,17,7,13,0,1,6,171,11"
"절도범죄,절도범죄,6109,14565,5884,3078,1023,32,19,6036,16523,2486,8861,8586,8029,2918,842,10847,15401,1442,1583,278,120,169,5418,1535,1873,1112,402,1031,144,12,196,403,875,2843,463,5,75,40,238,168,1657,1287,1657,388,48,1541,255,165,159,2201,1257,549,5878,156,733,468,344,22,22,109,36517,2493"
"폭력범죄,상해,1463,2703,1128,684,260,43,19,1469,2846,17,31,54,125,159,18,7,386,416,49,22,34,58,1303,124,1339,1056,45,57,10,0,8,36,36,66,19,0,25,2,12,17,136,197,80,53,3,443,8,24,17,15,256,57,585,13,74,31,79,14,25,71,4364,225"
"폭력범죄,폭행,6018,18074,7239,2640,798,161,176,9345,15950,126,305,365,1297,790,137,40,2291,1402,229,109,109,186,5204,502,5554,3808,245,718,48,8,69,654,1870,716,365,3,75,4,144,89,609,926,465,234,24,952,58,83,74,88,1157,185,2314,39,171,125,433,83,137,180,21861,1466"
"폭력범죄,체포_감금,72,120,86,62,17,9,1,60,33,0,2,1,7,0,2,1,20,81,3,3,1,4,13,7,9,13,0,1,0,0,1,3,6,100,1,0,1,0,2,2,3,3,8,3,1,4,1,2,0,0,31,4,13,0,0,2,6,0,3,4,162,17"
"폭력범죄,협박,1863,4190,1963,755,219,389,223,2767,1332,15,27,81,267,87,15,8,406,143,4,30,22,21,807,119,475,263,19,27,7,1,4,32,39,55,10,1,7,1,12,12,68,94,61,20,12,137,7,26,11,31,133,28,299,6,20,7,98,6,47,20,4119,988"
"폭력범죄,약취?유인,8,53,15,8,2,1,0,28,51,0,1,0,7,2,0,1,1,17,0,0,1,1,0,1,0,4,3,4,0,0,0,0,0,5,0,0,0,0,0,0,2,13,0,0,7,8,0,0,0,1,7,0,10,0,0,1,1,0,0,2,64,12"
"폭력범죄,폭력행위등,208,461,195,112,63,3,5,396,1045,2,3,7,55,33,7,17,133,165,9,1,17,10,231,72,302,244,5,12,3,0,0,5,3,29,1,0,6,0,3,8,32,114,46,23,1,160,1,8,9,4,35,33,221,11,44,20,41,7,10,11,2120,108"
"폭력범죄,공갈,354,745,204,114,96,1,0,92,196,0,1,8,31,11,1,1,89,63,5,4,11,6,136,61,18,29,7,4,2,1,1,1,1,34,0,0,0,0,1,0,13,39,57,12,0,49,0,7,2,8,20,6,27,2,4,3,13,9,8,3,2800,1499"
"폭력범죄,손괴,2943,7403,3293,1504,393,45,22,4823,7190,39,106,128,356,262,69,400,1852,1550,42,93,52,67,1241,247,945,715,61,127,12,8,16,18,160,96,24,1,15,1,14,19,127,219,229,102,20,154,19,48,37,106,154,140,2465,48,239,112,76,4,12,47,12390,869"
"지능범죄,직무유기,11,20,6,2,3,0,0,14,14,0,0,1,2,3,1,0,3,1,0,0,1,0,3,2,0,1,0,2,1,0,1,1,0,0,2,0,0,0,0,0,1,3,1,0,0,11,3,0,1,1,10,0,13,1,0,0,691,2,41,0,324,93"
